Year,Sexe,Units,Value
2015,,Número total per 100.000 habitants,84.9
2016,,Número total per 100.000 habitants,87.3
2017,,Número total per 100.000 habitants,96.2
2018,,Número total per 100.000 habitants,96.6
2019,,Número total per 100.000 habitants,95.5
2020,,Número total per 100.000 habitants,37.1
2021,,Número total per 100.000 habitants,41.1
2022,,Número total per 100.000 habitants,49.7
2015,Homes,Número total per 100.000 habitants,66.1
2016,Homes,Número total per 100.000 habitants,65.3
2017,Homes,Número total per 100.000 habitants,68.2
2018,Homes,Número total per 100.000 habitants,68.4
2019,Homes,Número total per 100.000 habitants,64.2
2020,Homes,Número total per 100.000 habitants,27.9
2021,Homes,Número total per 100.000 habitants,31.0
2022,Homes,Número total per 100.000 habitants,44.2
2023,Homes,Número total per 100.000 habitants,51.2
2024,Homes,Número total per 100.000 habitants,50.1
2015,Dones,Número total per 100.000 habitants,110.6
2016,Dones,Número total per 100.000 habitants,106.7
2017,Dones,Número total per 100.000 habitants,122.7
2018,Dones,Número total per 100.000 habitants,124.2
2019,Dones,Número total per 100.000 habitants,124.7
2020,Dones,Número total per 100.000 habitants,48.1
2021,Dones,Número total per 100.000 habitants,49.8
2022,Dones,Número total per 100.000 habitants,54.6
2023,Dones,Número total per 100.000 habitants,98.7
2024,Dones,Número total per 100.000 habitants,103.7
