Year,Sexo,Units,Value
2015,,Porcentaje,10.8
2015,Hombres,Porcentaje,12.9
2015,Mujeres,Porcentaje,8.7
2016,,Porcentaje,8.5
2016,Hombres,Porcentaje,9.3
2016,Mujeres,Porcentaje,7.7
2017,,Porcentaje,9.5
2017,Hombres,Porcentaje,10.8
2017,Mujeres,Porcentaje,8.1
2018,,Porcentaje,9.7
2018,Hombres,Porcentaje,10.2
2018,Mujeres,Porcentaje,9.3
2019,,Porcentaje,8.2
2019,Hombres,Porcentaje,9.5
2019,Mujeres,Porcentaje,6.9
2020,,Porcentaje,7.7
2020,Hombres,Porcentaje,7.5
2020,Mujeres,Porcentaje,7.8
2021,,Porcentaje,5.5
2021,Hombres,Porcentaje,6.2
2021,Mujeres,Porcentaje,4.8
2022,,Porcentaje,7.7
2022,Hombres,Porcentaje,9.3
2022,Mujeres,Porcentaje,6.1
2023,,Porcentaje,6.8
2023,Hombres,Porcentaje,7.4
2023,Mujeres,Porcentaje,6.2
2024,,Porcentaje,7.7
2024,Hombres,Porcentaje,8.4
2024,Mujeres,Porcentaje,6.9
2025,,Porcentaje,7.1
2025,Hombres,Porcentaje,9.7
2025,Mujeres,Porcentaje,4.5
