Year,Sexo,Units,Value
2015,,Número Total,199
2015,Hombres,Número Total,135
2015,Mujeres,Número Total,64
2016,,Número Total,192
2016,Hombres,Número Total,131
2016,Mujeres,Número Total,61
2017,,Número Total,230
2017,Hombres,Número Total,150
2017,Mujeres,Número Total,80
2018,,Número Total,236
2018,Hombres,Número Total,155
2018,Mujeres,Número Total,81
2019,,Número Total,202
2019,Hombres,Número Total,143
2019,Mujeres,Número Total,59
2020,,Número Total,141
2020,Hombres,Número Total,98
2020,Mujeres,Número Total,43
2021,,Número Total,166
2021,Hombres,Número Total,111
2021,Mujeres,Número Total,55
2022,,Número Total,173
2022,Hombres,Número Total,113
2022,Mujeres,Número Total,60
2023,,Número Total,225
2023,Hombres,Número Total,147
2023,Mujeres,Número Total,78
2024,,Número Total,244
2024,Hombres,Número Total,149
2024,Mujeres,Número Total,95
2025,,Número Total,246
