Year,Sexe,Units,Value
2015,,Número total per 100.000 habitants,26.4
2016,,Número total per 100.000 habitants,32.4
2017,,Número total per 100.000 habitants,24.5
2018,,Número total per 100.000 habitants,20.8
2019,,Número total per 100.000 habitants,28.7
2020,,Número total per 100.000 habitants,19.1
2021,,Número total per 100.000 habitants,20.7
2022,,Número total per 100.000 habitants,19.9
2015,Homes,Number per 100.000 inhabitants,34.8
2016,Homes,Number per 100.000 inhabitants,44.2
2017,Homes,Number per 100.000 inhabitants,33.4
2018,Homes,Number per 100.000 inhabitants,30.7
2019,Homes,Number per 100.000 inhabitants,41.0
2020,Homes,Number per 100.000 inhabitants,27.7
2021,Homes,Number per 100.000 inhabitants,28.6
2022,Homes,Number per 100.000 inhabitants,25.5
2023,Homes,Number per 100.000 inhabitants,24.6
2015,Dones,Number per 100.000 inhabitants,16.6
2016,Dones,Number per 100.000 inhabitants,18.7
2017,Dones,Number per 100.000 inhabitants,14.8
2018,Dones,Number per 100.000 inhabitants,9.8
2019,Dones,Number per 100.000 inhabitants,15.5
2020,Dones,Number per 100.000 inhabitants,9.5
2021,Dones,Number per 100.000 inhabitants,12.0
2022,Dones,Number per 100.000 inhabitants,12.5
2023,Dones,Number per 100.000 inhabitants,16.2
