Year,Área Geográfica,Units,Value
2014,Barcelona,Variación porcentual anual,
2015,Barcelona,Variación porcentual anual,2.48
2016,Barcelona,Variación porcentual anual,-1.65
2017,Barcelona,Variación porcentual anual,2.87
2018,Barcelona,Variación porcentual anual,3.89
2019,Barcelona,Variación porcentual anual,0.7
2020,Barcelona,Variación porcentual anual,-7.9
2021,Barcelona,Variación porcentual anual,3.74
2022,Barcelona,Variación porcentual anual,18.38
2023,Barcelona,Variación porcentual anual,-2.26
2024,Barcelona,Variación porcentual anual,-3.41
2025,Barcelona,Variación porcentual anual,-2.37
2014,Barcelona,Crecimiento acumulado del PIB,100.0
2015,Barcelona,Crecimiento acumulado del PIB,102.48
2016,Barcelona,Crecimiento acumulado del PIB,100.79
2017,Barcelona,Crecimiento acumulado del PIB,103.68
2018,Barcelona,Crecimiento acumulado del PIB,107.72
2019,Barcelona,Crecimiento acumulado del PIB,108.47
2020,Barcelona,Crecimiento acumulado del PIB,99.9
2021,Barcelona,Crecimiento acumulado del PIB,103.63
2022,Barcelona,Crecimiento acumulado del PIB,122.67
2023,Barcelona,Crecimiento acumulado del PIB,119.91
2024,Barcelona,Crecimiento acumulado del PIB,115.82
2025,Barcelona,Crecimiento acumulado del PIB,113.08
