Year,Sexo,Units,Value
2015,,Porcentaje,47.7
2016,,Porcentaje,49.6
2017,,Porcentaje,51.2
2018,,Porcentaje,52.5
2019,,Porcentaje,53.3
2020,,Porcentaje,53.8
2020,Hombres,Porcentaje,47.0
2020,Mujeres,Porcentaje,60.8
2021,,Porcentaje,55.1
2021,Hombres,Porcentaje,48.3
2021,Mujeres,Porcentaje,61.9
2022,,Porcentaje,55.9
2022,Hombres,Porcentaje,49.2
2022,Mujeres,Porcentaje,62.6
2023,,Porcentaje,56.3
2023,Hombres,Porcentaje,49.4
2023,Mujeres,Porcentaje,63.2
2024,,Porcentaje,56.2
2024,Hombres,Porcentaje,48.9
2024,Mujeres,Porcentaje,63.7
2025,,Porcentaje,55.9
2025,Hombres,Porcentaje,48.5
2025,Mujeres,Porcentaje,63.6
