Year,Sexo,Units,Value
2015,,Porcentaje,60.3
2016,,Porcentaje,60.7
2017,,Porcentaje,61.4
2018,,Porcentaje,61.8
2019,,Porcentaje,62.1
2020,,Porcentaje,61.3
2020,Hombres,Porcentaje,54.9
2020,Mujeres,Porcentaje,68.0
2021,,Porcentaje,62.3
2021,Hombres,Porcentaje,55.7
2021,Mujeres,Porcentaje,69.0
2022,,Porcentaje,61.7
2022,Hombres,Porcentaje,54.9
2022,Mujeres,Porcentaje,68.6
2023,,Porcentaje,64.4
2023,Hombres,Porcentaje,57.5
2023,Mujeres,Porcentaje,71.4
2024,,Porcentaje,63.6
2024,Hombres,Porcentaje,57.0
2024,Mujeres,Porcentaje,70.5
2025,,Porcentaje,63.0
2025,Hombres,Porcentaje,56.7
2025,Mujeres,Porcentaje,69.8
