Year,Sexo,Units,Value
2015,,Número total por 100.000 habitantes,26.4
2016,,Número total por 100.000 habitantes,32.4
2017,,Número total por 100.000 habitantes,24.5
2018,,Número total por 100.000 habitantes,20.8
2019,,Número total por 100.000 habitantes,28.7
2020,,Número total por 100.000 habitantes,19.1
2021,,Número total por 100.000 habitantes,20.7
2022,,Número total por 100.000 habitantes,19.9
2015,Hombres,Número total por 100.000 habitantes,34.8
2016,Hombres,Número total por 100.000 habitantes,44.2
2017,Hombres,Número total por 100.000 habitantes,33.4
2018,Hombres,Número total por 100.000 habitantes,30.7
2019,Hombres,Número total por 100.000 habitantes,41.0
2020,Hombres,Número total por 100.000 habitantes,27.7
2021,Hombres,Número total por 100.000 habitantes,28.6
2022,Hombres,Número total por 100.000 habitantes,25.5
2023,Hombres,Número total por 100.000 habitantes,24.6
2024,Hombres,Número total por 100.000 habitantes,30.6
2015,Mujeres,Número total por 100.000 habitantes,16.6
2016,Mujeres,Número total por 100.000 habitantes,18.7
2017,Mujeres,Número total por 100.000 habitantes,14.8
2018,Mujeres,Número total por 100.000 habitantes,9.8
2019,Mujeres,Número total por 100.000 habitantes,15.5
2020,Mujeres,Número total por 100.000 habitantes,9.5
2021,Mujeres,Número total por 100.000 habitantes,12.0
2022,Mujeres,Número total por 100.000 habitantes,12.5
2023,Mujeres,Número total por 100.000 habitantes,16.2
2024,Mujeres,Número total por 100.000 habitantes,14.1
