Year,Sexo,Units,Value
2015,,Porcentaje,83.7
2016,,Porcentaje,85.5
2017,,Porcentaje,85.7
2018,,Porcentaje,87.7
2019,,Porcentaje,88.5
2020,,Porcentaje,84.0
2021,,Porcentaje,85.4
2022,,Porcentaje,86.3
2023,,Porcentaje,86.2
2024,,Porcentaje,85.9
2025,,Porcentaje,85.4
2015,Hombres,Porcentaje,86.9
2016,Hombres,Porcentaje,88.8
2017,Hombres,Porcentaje,88.1
2018,Hombres,Porcentaje,90.1
2019,Hombres,Porcentaje,91.1
2020,Hombres,Porcentaje,87.1
2021,Hombres,Porcentaje,88.4
2022,Hombres,Porcentaje,88.9
2023,Hombres,Porcentaje,88.8
2024,Hombres,Porcentaje,90.0
2025,Hombres,Porcentaje,88.5
2015,Mujeres,Porcentaje,81.0
2016,Mujeres,Porcentaje,82.5
2017,Mujeres,Porcentaje,83.6
2018,Mujeres,Porcentaje,85.7
2019,Mujeres,Porcentaje,86.3
2020,Mujeres,Porcentaje,81.3
2021,Mujeres,Porcentaje,82.7
2022,Mujeres,Porcentaje,83.9
2023,Mujeres,Porcentaje,83.8
2024,Mujeres,Porcentaje,82.4
2025,Mujeres,Porcentaje,82.6
