Year,Gender,Units,Value
2015,Men,Rate per 100.000,3155.8
2015,Women,Rate per 100.000,1694.7
2015,,Rate per 100.000,2454.1
2016,Men,Rate per 100.000,3013.5
2016,Women,Rate per 100.000,1552.2
2016,,Rate per 100.000,2312.0
2017,Men,Rate per 100.000,3250.1
2017,Women,Rate per 100.000,1602.0
2017,,Rate per 100.000,2476.9
2018,Men,Rate per 100.000,2841.5
2018,Women,Rate per 100.000,1499.6
2018,,Rate per 100.000,2205.6
2019,Men,Rate per 100.000,2733.8
2019,Women,Rate per 100.000,1435.8
2019,,Rate per 100.000,2056.3
2020,Men,Rate per 100.000,3009.3
2020,Women,Rate per 100.000,1640.8
2020,,Rate per 100.000,2293.1
2021,Men,Rate per 100.000,2956.3
2021,Women,Rate per 100.000,1528.8
2021,,Rate per 100.000,2215.1
2022,Men,Rate per 100.000,2948.8
2022,Women,Rate per 100.000,1483.7
2022,,Rate per 100.000,2191.0
2023,Men,Rate per 100.000,2720.2
2023,Women,Rate per 100.000,1516.3
2023,,Rate per 100.000,2096.8
