Year,Gender,Units,Value
2016,,Percentage,15.2
2017,,Percentage,15.4
2018,,Percentage,14.7
2019,,Percentage,16.5
2020,,Percentage,14.4
2021,,Percentage,14.9
2022,,Percentage,18.9
2023,,Percentage,19.4
2024,,Percentage,19.3
2025,,Percentage,17.8
2019,Men,Percentage,17.0
2020,Men,Percentage,14.5
2021,Men,Percentage,14.8
2022,Men,Percentage,20.6
2023,Men,Percentage,19.5
2024,Men,Percentage,21.5
2025,Men,Percentage,19.0
2019,Women,Percentage,16.1
2020,Women,Percentage,14.3
2021,Women,Percentage,15.0
2022,Women,Percentage,17.3
2023,Women,Percentage,19.3
2024,Women,Percentage,17.3
2025,Women,Percentage,16.8
