Year,Gender,Units,Value
2015,Men,Rate per 100.000,65.3
2015,Women,Rate per 100.000,4.5
2015,,Rate per 100.000,24.4
2016,Men,Rate per 100.000,59.5
2016,Women,Rate per 100.000,3.8
2016,,Rate per 100.000,21.3
2017,Men,Rate per 100.000,61.4
2017,Women,Rate per 100.000,7.6
2017,,Rate per 100.000,22.9
2018,Men,Rate per 100.000,58.5
2018,Women,Rate per 100.000,4.9
2018,,Rate per 100.000,20.2
2019,Men,Rate per 100.000,30.3
2019,Women,Rate per 100.000,3.3
2019,,Rate per 100.000,16.1
2020,Men,Rate per 100.000,40.8
2020,Women,Rate per 100.000,3.4
2020,,Rate per 100.000,14.4
2021,Men,Rate per 100.000,18.5
2021,Women,Rate per 100.000,2.7
2021,,Rate per 100.000,10.2
2022,Men,Rate per 100.000,39.8
2022,Women,Rate per 100.000,5.3
2022,,Rate per 100.000,14.6
2023,Men,Rate per 100.000,21.1
2023,Women,Rate per 100.000,2.1
2023,,Rate per 100.000,11.5
2024,Men,Rate per 100.000,17.6
2024,Women,Rate per 100.000,3.8
2024,,Rate per 100.000,10.8
