Year,Sexe,Units,Value
2015,,Escala de 0 a 10,6.3
2016,,Escala de 0 a 10,6.3
2017,,Escala de 0 a 10,6.4
2018,,Escala de 0 a 10,6.5
2019,,Escala de 0 a 10,6.2
2020,,Escala de 0 a 10,5.7
2021,,Escala de 0 a 10,5.9
2022,,Escala de 0 a 10,5.7
2023,,Escala de 0 a 10,5.7
2024,,Escala de 0 a 10,6.2
2025,,Escala de 0 a 10,6.4
2015,Homes,Escala de 0 a 10,6.4
2016,Homes,Escala de 0 a 10,6.3
2017,Homes,Escala de 0 a 10,6.4
2018,Homes,Escala de 0 a 10,6.5
2019,Homes,Escala de 0 a 10,6.2
2020,Homes,Escala de 0 a 10,5.7
2021,Homes,Escala de 0 a 10,5.9
2022,Homes,Escala de 0 a 10,5.7
2023,Homes,Escala de 0 a 10,5.7
2024,Homes,Escala de 0 a 10,6.1
2025,Homes,Escala de 0 a 10,6.4
2015,Dones,Escala de 0 a 10,6.2
2016,Dones,Escala de 0 a 10,6.2
2017,Dones,Escala de 0 a 10,6.3
2018,Dones,Escala de 0 a 10,6.5
2019,Dones,Escala de 0 a 10,6.2
2020,Dones,Escala de 0 a 10,5.7
2021,Dones,Escala de 0 a 10,5.9
2022,Dones,Escala de 0 a 10,5.7
2023,Dones,Escala de 0 a 10,5.7
2024,Dones,Escala de 0 a 10,6.3
2025,Dones,Escala de 0 a 10,6.4
