Year,Sexe,Units,Value
2015,,Número total en milers,103.0
2016,,Número total en milers,93.8
2017,,Número total en milers,80.3
2018,,Número total en milers,83.0
2019,,Número total en milers,70.3
2020,,Número total en milers,103.9
2021,,Número total en milers,58.1
2022,,Número total en milers,68.1
2023,,Número total en milers,54.0
2024,,Número total en milers,51.5
2025,,Número total en milers,75.7
2015,Homes,Número total en milers,49.3
2016,Homes,Número total en milers,46.8
2017,Homes,Número total en milers,43.6
2018,Homes,Número total en milers,37.6
2019,Homes,Número total en milers,38.9
2020,Homes,Número total en milers,52.6
2021,Homes,Número total en milers,26.1
2022,Homes,Número total en milers,34.4
2023,Homes,Número total en milers,25.8
2024,Homes,Número total en milers,28.3
2025,Homes,Número total en milers,36.4
2015,Dones,Número total en milers,53.7
2016,Dones,Número total en milers,47.0
2017,Dones,Número total en milers,36.7
2018,Dones,Número total en milers,45.4
2019,Dones,Número total en milers,31.4
2020,Dones,Número total en milers,51.3
2021,Dones,Número total en milers,32.0
2022,Dones,Número total en milers,33.7
2023,Dones,Número total en milers,28.2
2024,Dones,Número total en milers,23.2
2025,Dones,Número total en milers,39.3
