Year,Àrea Geogràfica,Units,Value
2014,Barcelona,Variació percentual anual,
2015,Barcelona,Variació percentual anual,3.06
2016,Barcelona,Variació percentual anual,2.83
2017,Barcelona,Variació percentual anual,2.83
2018,Barcelona,Variació percentual anual,2.93
2019,Barcelona,Variació percentual anual,1.17
2020,Barcelona,Variació percentual anual,-14.14
2021,Barcelona,Variació percentual anual,9.0
2022,Barcelona,Variació percentual anual,3.13
2023,Barcelona,Variació percentual anual,0.43
2024,Barcelona,Variació percentual anual,1.21
2014,Unió Europea,Variació percentual anual,
2015,Unió Europea,Variació percentual anual,2.08
2016,Unió Europea,Variació percentual anual,1.74
2017,Unió Europea,Variació percentual anual,2.65
2018,Unió Europea,Variació percentual anual,1.82
2019,Unió Europea,Variació percentual anual,1.74
2020,Unió Europea,Variació percentual anual,-5.57
2021,Unió Europea,Variació percentual anual,6.51
2022,Unió Europea,Variació percentual anual,3.15
2023,Unió Europea,Variació percentual anual,0.07
2023,Unió Europea,Variació percentual anual,0.85
2014,Espanya,Variació percentual anual,
2015,Espanya,Variació percentual anual,3.92
2016,Espanya,Variació percentual anual,2.84
2017,Espanya,Variació percentual anual,2.65
2018,Espanya,Variació percentual anual,1.93
2019,Espanya,Variació percentual anual,1.23
2020,Espanya,Variació percentual anual,-11.39
2021,Espanya,Variació percentual anual,6.49
2022,Espanya,Variació percentual anual,5.42
2023,Espanya,Variació percentual anual,1.48
2024,Espanya,Variació percentual anual,2.18
2014,Barcelona,Creixement acumulat del PIB,100.0
2015,Barcelona,Creixement acumulat del PIB,103.06
2016,Barcelona,Creixement acumulat del PIB,105.98
2017,Barcelona,Creixement acumulat del PIB,108.98
2018,Barcelona,Creixement acumulat del PIB,112.17
2019,Barcelona,Creixement acumulat del PIB,113.71
2020,Barcelona,Creixement acumulat del PIB,97.44
2021,Barcelona,Creixement acumulat del PIB,106.21
2022,Barcelona,Creixement acumulat del PIB,109.54
2023,Barcelona,Creixement acumulat del PIB,110.01
2024,Barcelona,Creixement acumulat del PIB,111.35
