Year,Sexe,Units,Value
2015,Homes,Taxa per 100.000,3155.8
2015,Dones,Taxa per 100.000,1694.7
2015,,Taxa per 100.000,2454.1
2016,Homes,Taxa per 100.000,3013.5
2016,Dones,Taxa per 100.000,1552.2
2016,,Taxa per 100.000,2312.0
2017,Homes,Taxa per 100.000,3250.1
2017,Dones,Taxa per 100.000,1602.0
2017,,Taxa per 100.000,2476.9
2018,Homes,Taxa per 100.000,2841.5
2018,Dones,Taxa per 100.000,1499.6
2018,,Taxa per 100.000,2205.6
2019,Homes,Taxa per 100.000,2733.8
2019,Dones,Taxa per 100.000,1435.8
2019,,Taxa per 100.000,2056.3
2020,Homes,Taxa per 100.000,3009.3
2020,Dones,Taxa per 100.000,1640.8
2020,,Taxa per 100.000,2293.1
2021,Homes,Taxa per 100.000,2956.3
2021,Dones,Taxa per 100.000,1528.8
2021,,Taxa per 100.000,2215.1
2022,Homes,Taxa per 100.000,2948.8
2022,Dones,Taxa per 100.000,1483.7
2022,,Taxa per 100.000,2191.0
2023,Homes,Taxa per 100.000,2720.2
2023,Dones,Taxa per 100.000,1516.3
2023,,Taxa per 100.000,2096.8
