Year,Sexo,Units,Value
2015,,Porcentaje,38.6
2016,,Porcentaje,41.5
2017,,Porcentaje,43.4
2018,,Porcentaje,48.6
2019,,Porcentaje,45.9
2020,,Porcentaje,42.0
2021,,Porcentaje,44.2
2022,,Porcentaje,44.8
2023,,Porcentaje,42.9
2024,,Porcentaje,45.3
2025,,Porcentaje,45.8
2015,Hombres,Porcentaje,43.9
2016,Hombres,Porcentaje,45.2
2017,Hombres,Porcentaje,48.2
2018,Hombres,Porcentaje,52.3
2019,Hombres,Porcentaje,49.8
2020,Hombres,Porcentaje,46.8
2021,Hombres,Porcentaje,47.0
2022,Hombres,Porcentaje,46.0
2023,Hombres,Porcentaje,45.2
2024,Hombres,Porcentaje,48.8
2025,Hombres,Porcentaje,51.2
2015,Mujeres,Porcentaje,34.0
2016,Mujeres,Porcentaje,38.4
2017,Mujeres,Porcentaje,39.2
2018,Mujeres,Porcentaje,45.4
2019,Mujeres,Porcentaje,42.6
2020,Mujeres,Porcentaje,37.8
2021,Mujeres,Porcentaje,41.6
2022,Mujeres,Porcentaje,42.5
2023,Mujeres,Porcentaje,41.4
2024,Mujeres,Porcentaje,42.4
2025,Mujeres,Porcentaje,41.0
